Locus_tag;Old_locus_tag;Gene_name;Gene_product;Old_gene_product;Protein_ID;Old_protein_ID
EDL933_RS05160;NA;NA;hypothetical protein;NA;WP_001303893.1;NA
EDL933_RS05165;Z1578;NA;diacylglycerol kinase;Diacylglycerol kinase;WP_000024297.1;AIG67236.1
EDL933_RS05175;NA;NA;hypothetical protein;NA;WP_000134927.1;NA
EDL933_RS05220;Z1589;NA;transposase;Transposase;WP_000088300.1;AIG67248.1
EDL933_RS05235;Z1592;NA;hok/gef family protein;hypothetical protein;WP_001135715.1;AIG67251.1
EDL933_RS05245;Z1594;NA;hypothetical protein;hypothetical protein;WP_000397129.1;AIG67254.1
EDL933_RS05250;NA;NA;hypothetical protein;NA;WP_001303896.1;NA
EDL933_RS05265;Z1598;NA;transposase;Transposase;WP_000435663.1;AIG67258.1
EDL933_RS05270;Z1599;NA;transposase;Transposase;WP_000624701.1;AIG67259.1
EDL933_RS05275;Z1600;NA;transposase;Transposase;WP_000088522.1;AIG67260.1
EDL933_RS05280;Z1601;NA;transposase;Transposase;WP_000355322.1;AIG67261.1
EDL933_RS05285;Z1602;NA;transposase;Hypothetical protein;WP_000957248.1;AIG67262.1
EDL933_RS05290;NA;NA;hypothetical protein;hypothetical protein;WP_000042916.1;AIG67263.1
EDL933_RS05300;Z1604;NA;hypothetical protein;hypothetical protein;WP_000506898.1;AIG67265.1
EDL933_RS05305;Z1605;NA;citrate lyase subunit beta;Citrate lyase beta chain;WP_000797372.1;AIG67266.1
EDL933_RS05310;Z1606;NA;hypothetical protein;putative ATP/GTP-binding protein;WP_001182418.1;AIG67267.1
EDL933_RS05315;NA;NA;hypothetical protein;NA;WP_001040060.1;NA
EDL933_RS05320;Z1608;NA;hypothetical protein;Adenine/guanine phosphoribosyltransferase;WP_001280118.1;AIG67270.1
EDL933_RS05325;Z1609;NA;hypothetical protein;Carbamoylphosphate synthase large subunit;WP_001035166.1;AIG67271.1
EDL933_RS05360;NA;NA;hypothetical protein;NA;WP_010917786.1;NA
EDL933_RS05370;NA;NA;hypothetical protein;hypothetical protein;WP_001511854.1;AIG67279.1
EDL933_RS05375;Z1617;NA;ligand-gated channel;Colicin I receptor precursor;WP_001223350.1;AIG67280.1
EDL933_RS05380;NA;NA;hypothetical protein;hypothetical protein;WP_000922604.1;AIG67281.1
EDL933_RS05385;Z1620;NA;hypothetical protein;hypothetical protein;WP_000477623.1;AIG67282.1
EDL933_RS05395;NA;NA;hypothetical protein;hypothetical protein;WP_001304210.1;AIG67284.1
EDL933_RS05400;Z1624;NA;hypothetical protein;hypothetical protein;WP_001004881.1;AIG67286.1
EDL933_RS05410;NA;NA;hypothetical protein;hypothetical protein;WP_000233217.1;AIG67290.1
EDL933_RS05420;Z1627;NA;AlpA family phage regulatory protein;hypothetical protein;WP_000958487.1;AIG67293.1
EDL933_RS05430;NA;NA;transposase;NA;WP_000089821.1;NA
EDL933_RS05435;NA;NA;transposase;IS1 transposase;WP_001303900.1;AIG67298.1
EDL933_RS05440;Z1633;NA;hypothetical protein;putative membrane protein;WP_001302285.1;AIG67299.1
EDL933_RS05445;NA;NA;hypothetical protein;NA;WP_001303901.1;NA
EDL933_RS05455;Z1635;NA;hypothetical protein;hypothetical protein;WP_001260384.1;AIG67302.1
EDL933_RS05460;Z1636;NA;hypothetical protein;hypothetical protein;WP_000124179.1;AIG67303.1
EDL933_RS05465;Z1637;NA;hypothetical protein;hypothetical protein;WP_001287881.1;AIG67304.1
EDL933_RS05470;Z1221;NA;transposase;Transposase;WP_001302783.1;AIG67306.1
EDL933_RS05475;Z3161;NA;transposase;Transposase;WP_000165196.1;AIG67307.1
EDL933_RS05480;Z1640;NA;hypothetical protein;putative hemolysin activator protein;WP_001345400.1;AIG67308.1
EDL933_RS05485;NA;NA;hypothetical protein;NA;WP_001304206.1;NA
EDL933_RS05490;Z1642;NA;helicase;DNA helicase;WP_001304205.1;AIG67310.1
EDL933_RS05505;NA;NA;PerC family transcriptional regulator;Putative transcriptional regulator;WP_000226520.1;AIG67314.1
EDL933_RS05510;Z1645;NA;hypothetical protein;hypothetical protein;WP_001333354.1;AIG67315.1
EDL933_RS05520;NA;NA;hypothetical protein;NA;WP_032083759.1;NA
EDL933_RS05525;Z1647;NA;transposase;Transposase/Integrase;NA;AIG67317.1
EDL933_RS05530;Z1208;NA;transposase;Transposase;WP_000422760.1;AIG67318.1
EDL933_RS05535;Z1649;NA;hypothetical protein;hypothetical protein;WP_000282125.1;AIG67319.1
EDL933_RS05545;Z1651;NA;hypothetical protein;Antigen 43 precursor;WP_071884442.1;AIG67322.1
EDL933_RS05550;NA;NA;dGTPase;NA;NA;NA
EDL933_RS05560;NA;NA;chemotaxis protein;NA;NA;NA
EDL933_RS05565;Z1654;NA;phospholipase;Ferredoxin reductase;WP_000102669.1;AIG67326.1
EDL933_RS05570;NA;NA;hypothetical protein;hypothetical protein;WP_000504322.1;AIG67327.1
EDL933_RS05575;Z1655;NA;hypothetical protein;hypothetical protein;WP_001234682.1;AIG67328.1
EDL933_RS05595;Z1219;NA;hypothetical protein;hypothetical protein;WP_000488330.1;AIG67333.1
EDL933_RS05605;NA;NA;hypothetical protein;YeeV toxin protein;WP_000854901.1;AIG67335.1
EDL933_RS05610;NA;NA;transposase;Transposase;WP_001302783.1;AIG67336.1
EDL933_RS05615;NA;NA;transposase;Transposase;WP_000165196.1;AIG67337.1
EDL933_RS05625;Z1662;NA;hypothetical protein;hypothetical protein;WP_001303906.1;AIG67339.1
EDL933_RS05630;Z1225;NA;hypothetical protein;hypothetical protein;WP_000839282.1;AIG67340.1
EDL933_RS05635;Z1664;NA;restriction methylase;hypothetical protein;WP_001280481.1;AIG67341.1
EDL933_RS05720;Z1245;NA;transporter;putative transport protein;WP_000918514.1;AIG67359.1
EDL933_RS05810;Z1265;NA;protein kinase-like domain protein;hypothetical protein;WP_000436922.1;AIG67377.1
EDL933_RS05860;NA;NA;hypothetical protein;NA;WP_000196604.1;NA
EDL933_RS05900;NA;NA;aliphatic sulfonate ABC transporter substrate-binding protein;Alkanesulfonates-binding protein;WP_001244347.1;AIG67395.1
EDL933_RS05940;Z1293m;NA;pili assembly chaperone;putative fimbrial chaperone ycbF precursor;NA;AIG67404.1
EDL933_RS05955;Z1297;NA;hypothetical protein;Flavodoxin reductases (ferredoxin-NADPH reductases) family 1;WP_000224291.1;AIG67408.1
EDL933_RS05995;Z1305;NA;ATP-dependent protease;ATP-dependent protease La Type II;WP_000156526.1;AIG67417.1
EDL933_RS06010;NA;NA;hypothetical protein;NA;WP_032083270.1;NA
EDL933_RS06040;NA;NA;methylglyoxal synthase;Methylglyoxal synthase;WP_000424181.1;AIG67425.1
EDL933_RS06045;Z1315;NA;hypothetical protein;UPF0319 protein YccT precursor;WP_000847791.1;AIG67426.1
EDL933_RS06050;NA;NA;hypothetical protein;hypothetical protein;WP_001302643.1;AIG67427.1
EDL933_RS06055;Z1317;NA;CoA-binding protein;Succinyl-CoA synthetase, alpha subunit-related enzyme;WP_000665217.1;AIG67428.1
EDL933_RS06070;Z1320;NA;acylphosphatase;Acylphosphate phosphohydrolase, putative;WP_000048252.1;AIG67431.1
EDL933_RS06085;Z1323;NA;integrase;Phage integrase;WP_001232853.1;AIG67434.1
EDL933_RS06095;Z1324;NA;exonuclease;Exodeoxyribonuclease encoded by cryptic prophage CP-933P;WP_000034474.1;AIG67436.1
EDL933_RS06100;Z1325;NA;hypothetical protein;hypothetical protein;WP_001098307.1;AIG67437.1
EDL933_RS06110;NA;NA;hypothetical protein;NA;WP_032102465.1;NA
EDL933_RS06115;Z1328;NA;hypothetical protein;hypothetical protein;WP_001133046.1;AIG67440.1
EDL933_RS06120;Z1329;NA;hypothetical protein;hypothetical protein;WP_000394511.1;AIG67441.1
EDL933_RS06125;Z1331;NA;phage protein;Hypothetical protein;WP_000379575.1;AIG67443.1
EDL933_RS06135;Z1332;NA;hypothetical protein;hypothetical protein;WP_000536233.1;AIG67444.1
EDL933_RS06140;NA;NA;hypothetical protein;NA;WP_000986592.1;NA
EDL933_RS06145;Z1334;NA;hypothetical protein;unknown protein encoded by cryptic prophage CP-933M;WP_000887453.1;AIG67446.1
EDL933_RS06150;Z1335;NA;Rha family transcriptional regulator;Phage or Prophage like protein;WP_000693855.1;AIG67447.1
EDL933_RS06155;Z1336;NA;hypothetical protein;hypothetical protein;WP_000063870.1;AIG67448.1
EDL933_RS06160;Z1337;NA;hypothetical protein;Primosomal protein I;WP_000052552.1;AIG67449.1
EDL933_RS06170;Z1339;NA;hypothetical protein;hypothetical protein;WP_000450992.1;AIG67451.1
EDL933_RS06180;Z1341;NA;hypothetical protein;hypothetical protein;WP_000160654.1;AIG67453.1
EDL933_RS06185;NA;NA;Hok/Gef family protein;NA;WP_001013642.1;NA
EDL933_RS06190;Z3117;NA;hypothetical protein;hypothetical protein;WP_000219243.1;AIG67454.1
EDL933_RS06195;Z1784;NA;hypothetical protein;Putative cytoplasmic protein;WP_001265172.1;AIG67455.1
EDL933_RS06200;Z1785;NA;endodeoxyribonuclease;Holliday junction resolvase;WP_001217436.1;AIG67456.1
EDL933_RS06205;Z1786;NA;antitermination protein;Phage antitermination protein Q;WP_000090264.1;AIG67457.1
EDL933_RS06210;Z1787;NA;CAAX protease family protein;hypothetical protein;WP_000265265.1;AIG67458.1
EDL933_RS06215;Z1788;NA;hypothetical protein;hypothetical protein;WP_001303877.1;AIG67459.1
EDL933_RS06220;Z1789;NA;transcriptional regulator;Putative transcriptional regulator;WP_001302296.1;AIG67462.1
EDL933_RS06225;NA;NA;tRNA-Arg;NA;NA;NA
EDL933_RS06240;Z1793;NA;9-O-acetyl-N-acetylneuraminic acid deacetylase;Hypothetical protein;WP_000874392.1;AIG67464.1
EDL933_RS06260;NA;NA;PerC family transcriptional regulator;NA;WP_001303878.1;NA
EDL933_RS06265;Z2118;NA;endopeptidase;putative endopeptidase;WP_001082637.1;AIG67468.1
EDL933_RS06270;Z2119;NA;hypothetical protein;hypothetical protein;WP_000675931.1;AIG67469.1
EDL933_RS06280;Z2121;NA;hypothetical protein;hypothetical protein;WP_001299698.1;AIG67471.1
EDL933_RS06285;NA;NA;hypothetical protein;NA;WP_001303880.1;NA
EDL933_RS06290;Z2122;NA;holin;Phage lysis protein S;WP_000411791.1;AIG67472.1
EDL933_RS06295;Z2123;NA;hypothetical protein;hypothetical protein;WP_000075205.1;AIG67473.1
EDL933_RS06305;Z2124;NA;hypothetical protein;Terminase small subunit;WP_000235421.1;AIG67475.1
EDL933_RS06310;NA;NA;transposase;NA;WP_001171554.1;NA
EDL933_RS06315;Z6015;NA;transposase;Transposase;WP_000612591.1;AIG67477.1
EDL933_RS06320;Z6016;NA;transposase;Transposase;WP_000998048.1;AIG67478.1
EDL933_RS06325;Z2364;NA;terminase;Phage terminase, large subunit;WP_001302857.1;AIG67481.1
EDL933_RS06330;Z2363;NA;head-tail joining protein;Phage head-to-tail joining protein;WP_000259002.1;AIG67482.1
EDL933_RS06335;Z2362;NA;phage portal protein;hypothetical protein;WP_000831796.1;AIG67483.1
EDL933_RS06340;Z2361;NA;scaffold protein;Head-tail preconnector protein GP5;WP_001254002.1;AIG67484.1
EDL933_RS06345;Z2360;NA;head decoration protein;Head decoration protein;WP_000256723.1;AIG67485.1
EDL933_RS06350;Z2359;NA;minor capsid protein E;Phage major capsid protein;WP_001301534.1;AIG67486.1
EDL933_RS06355;Z2358;NA;tail fiber protein;Putative tail component of prophage CP-933K;WP_029208397.1;AIG67487.1
EDL933_RS06360;Z2357;NA;phage minor tail protein G;Phage minor tail protein;WP_000479117.1;AIG67488.1
EDL933_RS06365;Z2356;NA;phage tail assembly protein T;Phage minor tail protein;WP_000533402.1;AIG67489.1
EDL933_RS06370;NA;NA;phage tail tape measure protein;NA;NA;NA
EDL933_RS06375;Z2353;NA;tail protein;Phage minor tail protein;WP_000847304.1;AIG67492.1
EDL933_RS06380;Z2352;NA;phage minor tail protein L;Phage minor tail protein;WP_001151078.1;AIG67493.1
EDL933_RS06385;Z2351;NA;tail protein;Phage tail assembly protein;WP_000194760.1;AIG67494.1
EDL933_RS06390;NA;NA;tail assembly protein;Phage tail assembly protein I;WP_001418600.1;AIG67495.1
EDL933_RS06395;NA;NA;hypothetical protein;NA;WP_001303882.1;NA
EDL933_RS06400;Z2347;NA;superoxide dismutase;Superoxide dismutase [Cu-Zn] precursor;WP_000649830.1;AIG67496.1
EDL933_RS06405;Z2344;NA;host specificity protein J;Phage tail fiber protein;WP_000515108.1;AIG67497.1
EDL933_RS06410;Z2146;NA;outer membrane protein;Attachment invasion locus protein precursor;WP_001230444.1;AIG67498.1
EDL933_RS06415;NA;NA;tail fiber protein;NA;WP_000268862.1;NA
EDL933_RS06420;Z1383;NA;phage tail protein;Phage tail fiber protein;WP_001023352.1;AIG67502.1
EDL933_RS06435;NA;NA;hypothetical protein;NA;WP_001303884.1;NA
EDL933_RS06485;NA;NA;cytochrome bd-II oxidase subunit;NA;WP_000270305.1;NA
EDL933_RS06540;NA;NA;cold-shock protein;NA;WP_001303885.1;NA
EDL933_RS06590;Z1419;NA;hypothetical protein;hypothetical protein;NA;AIG67534.1
EDL933_RS06620;Z1426;NA;hypothetical protein;Phage protein;WP_000425217.1;AIG67541.1
EDL933_RS06635;Z1430;NA;hypothetical protein;Phage protein;WP_000212746.1;AIG67544.1
EDL933_RS06640;NA;NA;hypothetical protein;hypothetical protein;WP_001142590.1;AIG67545.1
EDL933_RS06645;NA;NA;hypothetical protein;Phage protein;WP_000951705.1;AIG67546.1
EDL933_RS06650;NA;NA;hypothetical protein;NA;WP_000797281.1;NA
EDL933_RS06655;Z1432;NA;hypothetical protein;hypothetical protein;WP_001289936.1;AIG67548.1
EDL933_RS06660;Z3369;NA;hypothetical protein;hypothetical protein;WP_000188870.1;AIG67549.1
EDL933_RS06665;NA;NA;hypothetical protein;NA;WP_000548547.1;NA
EDL933_RS06670;NA;NA;DUF1317 domain-containing protein;hypothetical protein;WP_001303590.1;AIG67551.1
EDL933_RS06675;Z3367;NA;exonuclease;putative enzyme;WP_000186740.1;AIG67552.1
EDL933_RS06700;Z3363;NA;hypothetical protein;Single stranded DNA-binding protein, phage-associated;WP_000065377.1;AIG67556.1
EDL933_RS06705;Z1441;NA;hypothetical protein;Phage protein;WP_000167595.1;AIG67557.1
EDL933_RS06710;Z1442;NA;hypothetical protein;Phage antitermination protein N;WP_000198444.1;AIG67558.1
EDL933_RS06715;Z1444;NA;serine/threonine protein kinase;Serine/threonine protein kinase;WP_000957426.1;AIG67559.1
EDL933_RS06720;NA;NA;hypothetical protein;NA;WP_001221211.1;NA
EDL933_RS06725;Z1446;NA;hypothetical protein;Phage protein;WP_000885203.1;AIG67560.1
EDL933_RS06730;Z1447;NA;phage repressor protein C;Phage repressor;WP_000250473.1;AIG67561.1
EDL933_RS06740;Z1449;NA;hypothetical protein;Phage repressor;WP_000438541.1;AIG67563.1
EDL933_RS06745;Z1450;NA;Replication protein O;Origin specific replication initiation factor;WP_000185454.1;AIG67564.1
EDL933_RS06750;Z1451;NA;Replication protein P;Replication protein P;WP_000788928.1;AIG67565.1
EDL933_RS06760;Z1452;NA;hypothetical protein;Phage protein;WP_001000127.1;AIG67567.1
EDL933_RS06775;Z1454;NA;phage N-6-adenine-methyltransferase;Phage DNA N-6-adenine methyltransferase;WP_000153288.1;AIG67570.1
EDL933_RS06780;Z1456;NA;hypothetical protein;hypothetical protein;WP_001369341.1;AIG67571.1
EDL933_RS06800;Z1459;NA;antitermination protein;antitermination protein Q;WP_001204880.1;AIG67575.1
EDL933_RS06810;Z1460;NA;hypothetical protein;putative DNA methylase;WP_001304085.1;AIG67576.1
EDL933_RS06840;Z1466;NA;hypothetical protein;Phage protein;WP_000874499.1;AIG67579.1
EDL933_RS06845;NA;NA;DUF1378 domain-containing protein;Phage protein;WP_000143458.1;AIG67581.1
EDL933_RS06850;Z1467;NA;hypothetical protein;Phage protein;WP_001290212.1;AIG67582.1
EDL933_RS06855;Z1468;NA;holin;Phage lysis protein S;WP_000284506.1;AIG67583.1
EDL933_RS06860;Z3339;NA;lysozyme;hypothetical protein;WP_000087728.1;AIG67584.1
EDL933_RS06870;NA;NA;hypothetical protein;hypothetical protein;WP_000539792.1;AIG67586.1
EDL933_RS06885;Z1475;NA;terminase;DNA packaging;WP_001086069.1;AIG67590.1
EDL933_RS06890;Z1476;NA;terminase;Phage protein;WP_000143988.1;AIG67592.1
EDL933_RS06895;Z1477;NA;portal protein;Phage protein;WP_000787519.1;AIG67593.1
EDL933_RS06900;Z1478;NA;hypothetical protein;hypothetical protein;WP_000345010.1;AIG67594.1
EDL933_RS06905;Z1479;NA;major capsid protein;conserved phage protein;WP_000214474.1;AIG67595.1
EDL933_RS06910;Z1480;NA;hypothetical protein;hypothetical protein;WP_001140442.1;AIG67596.1
EDL933_RS06915;Z1481;NA;hypothetical protein;hypothetical protein;WP_001290743.1;AIG67597.1
EDL933_RS06920;NA;NA;hypothetical protein;Phage protein;WP_000829200.1;AIG67598.1
EDL933_RS06925;Z1482;NA;hypothetical protein;hypothetical protein;WP_000207924.1;AIG67599.1
EDL933_RS06930;Z1483;NA;tail fiber protein;Phage tail fiber protein;WP_000117994.1;AIG67600.1
EDL933_RS06935;Z1484;NA;phage tail protein;Phage protein;WP_001024006.1;AIG67601.1
EDL933_RS06940;Z1485;NA;hypothetical protein;hypothetical protein;WP_001303606.1;AIG67602.1
EDL933_RS06945;Z1486;NA;hypothetical protein;hypothetical protein;WP_001146326.1;AIG67604.1
EDL933_RS06950;Z1487;NA;hypothetical protein;Phage tail fiber protein;WP_000197192.1;AIG67605.1
EDL933_RS06955;NA;NA;outer membrane protein;putative outer membrane protein;WP_000455634.1;AIG67606.1
EDL933_RS06960;Z1488;NA;hypothetical protein;hypothetical protein;WP_001301884.1;AIG67607.1
EDL933_RS06980;NA;NA;Hok/Gef family protein;hypothetical protein;WP_000078907.1;AIG67609.1
EDL933_RS06985;Z1490;NA;hypothetical protein;Phage protein;WP_000035558.1;AIG67610.1
EDL933_RS06990;Z1491;NA;hypothetical protein;hypothetical protein;WP_000509481.1;AIG67611.1
EDL933_RS06995;Z1492;NA;hypothetical protein;hypothetical protein;WP_000455644.1;AIG67612.1
EDL933_RS07000;Z1493;NA;bacteriocin;hypothetical protein;WP_000540391.1;AIG67613.1
EDL933_RS07005;Z1494;NA;hypothetical protein;hypothetical protein;WP_000012450.1;AIG67614.1
EDL933_RS07010;Z1495;NA;hypothetical protein;Phage protein;WP_000331673.1;AIG67615.1
EDL933_RS07015;NA;NA;hypothetical protein;Phage protein;WP_000971668.1;AIG67616.1
EDL933_RS07025;NA;NA;Hok/Gef family protein;NA;WP_000935259.1;NA
EDL933_RS07030;Z1500;NA;hypothetical protein;Phage protein;WP_000426668.1;AIG67618.1
EDL933_RS07035;Z1501;NA;hypothetical protein;hypothetical protein;WP_001289938.1;AIG67619.1
EDL933_RS07045;Z1503;NA;phage antirepressor Ant;Phage antirepressor protein;WP_000203859.1;AIG67620.1
EDL933_RS07055;Z1506;NA;FMN reductase;putative flavin reductase RutF in pyrimidine catabolism pathway;WP_001028088.1;AIG67622.1
EDL933_RS07060;Z1507;NA;nitroreductase family protein;putative reductase RutE in pyrimidine catabolism pathway;WP_001001189.1;AIG67623.1
EDL933_RS07065;Z1508;NA;acetyltransferase;putative hydrolase or acyltransferase RutD in pyrimidine catabolism pathway;WP_001301780.1;AIG67624.1
EDL933_RS07070;Z1509;NA;aminoacrylate peracid reductase;putative ring-opening amidohydrolase RutC in pyrimidine catabolism pathway;WP_001126784.1;AIG67625.1
EDL933_RS07095;NA;NA;hypothetical protein;NA;WP_000979516.1;NA
EDL933_RS07105;Z1516;NA;hypothetical protein;hypothetical protein;WP_001247490.1;AIG67633.1
EDL933_RS07110;Z1518;NA;hypothetical protein;hypothetical protein;WP_001189178.1;AIG67636.1
EDL933_RS07130;NA;NA;hypothetical protein;NA;WP_001448978.1;NA
EDL933_RS07165;Z1528;NA;diguanylate phosphodiesterase;Rtn-like protein;WP_001301893.1;AIG67647.1
EDL933_RS07170;Z1530;NA;hypothetical protein;FidL-like protein;WP_000194260.1;AIG67648.1
EDL933_RS07175;Z1531;NA;transcriptional regulator;Transcriptional regulator, ArsR family;WP_000639305.1;AIG67649.1
EDL933_RS07180;Z1533;NA;oxidoreductase;Putative oxidoreductase;WP_000010422.1;AIG67650.1
EDL933_RS07185;Z1534;NA;molecular chaperone;Putative chaperone;WP_000843907.1;AIG67651.1
EDL933_RS07190;Z1535;NA;adhesin;Putative exported protein precursor;WP_001301924.1;AIG67652.1
EDL933_RS07195;Z1536;NA;outer membrane usher protein;outer membrane fimbrial usher protein;WP_001043728.1;AIG67653.1
EDL933_RS07200;Z1537;NA;molecular chaperone;Putative chaperone;WP_001019839.1;AIG67654.1
EDL933_RS07205;Z1538;NA;fimbrial protein;Fimbrial protein precursor;WP_000493084.1;AIG67655.1
EDL933_RS07210;NA;NA;hypothetical protein;NA;WP_000637296.1;NA
EDL933_RS07215;Z1542;NA;hemagglutinin;Hemolysin;WP_032105567.1;AIG67658.1
EDL933_RS07220;Z1543;NA;hemolysin;Channel-forming transporter/cytolysins activator of TpsB family;WP_001177016.1;AIG67659.1
EDL933_RS07225;Z1544;NA;holo-ACP synthase;Holo-[acyl-carrier protein] synthase;WP_001219671.1;AIG67660.1
EDL933_RS07230;Z1545;NA;3-oxoacyl-ACP reductase;3-oxoacyl-[acyl-carrier protein] reductase;WP_000280159.1;AIG67661.1
EDL933_RS07235;Z1546;NA;beta-hydroxyacyl-ACP dehydratase;hypothetical protein;WP_000049967.1;AIG67662.1
EDL933_RS07240;Z1547;NA;acyl carrier protein;Acyl carrier protein;WP_000106017.1;AIG67663.1
EDL933_RS07245;Z1548;NA;aminomethyltransferase;Aminomethyltransferase;WP_000838077.1;AIG67664.1
EDL933_RS07250;Z1549;NA;beta-ketoacyl-ACP synthase;3-oxoacyl-[acyl-carrier-protein] synthase, KASII;WP_000856330.1;AIG67665.1
EDL933_RS07255;Z1550;NA;beta-ketoacyl synthase;Malonyl CoA-acyl carrier protein transacylase;WP_000367826.1;AIG67666.1
EDL933_RS07260;Z1551;NA;hypothetical protein;hypothetical protein;WP_000137012.1;AIG67667.1
EDL933_RS07270;Z1553;NA;hypothetical protein;hypothetical protein;WP_000192888.1;AIG67669.1
EDL933_RS07275;Z1554;NA;ABC transporter permease;hypothetical protein;WP_000012257.1;AIG67670.1
EDL933_RS07280;Z1555;NA;outer membrane lipoprotein-sorting protein;hypothetical protein;WP_001055491.1;AIG67671.1
EDL933_RS07285;Z1556;NA;hypothetical protein;hypothetical protein;WP_000831622.1;AIG67672.1
EDL933_RS07300;NA;NA;integrase;Integrase;WP_000279869.1;AIG67675.1
EDL933_RS07305;NA;NA;hypothetical protein;putative membrane protein;WP_000282209.1;AIG67676.1
EDL933_RS07315;NA;NA;hypothetical protein;NA;WP_000579535.1;NA
EDL933_RS07320;NA;NA;hypothetical protein;hypothetical protein;WP_000335698.1;AIG67679.1
EDL933_RS07325;NA;NA;hypothetical protein;hypothetical protein;WP_000282084.1;AIG67680.1
EDL933_RS07340;Z1570;NA;IS66 family transposase;Transposase;NA;AIG67682.1
EDL933_RS07345;NA;NA;transposase;Transposase;WP_000612591.1;AIG67683.1
EDL933_RS07350;NA;NA;transposase;NA;WP_001171554.1;NA
EDL933_RS07355;NA;NA;DNA-binding protein;Transposase;WP_001254945.1;AIG67685.1
EDL933_RS07360;NA;NA;transposase;Transposase;WP_000336721.1;AIG67686.1
EDL933_RS07370;NA;NA;hypothetical protein;NA;WP_001304211.1;NA
EDL933_RS07375;NA;NA;diacylglycerol kinase;Diacylglycerol kinase;WP_000024297.1;AIG67688.1
EDL933_RS07385;NA;NA;hypothetical protein;NA;WP_000134927.1;NA
EDL933_RS07395;NA;NA;urease subunit gamma;Urease gamma subunit;WP_000424145.1;AIG67693.1
EDL933_RS07400;NA;NA;urease subunit beta;Urease beta subunit;WP_000612150.1;AIG67694.1
EDL933_RS07405;NA;NA;urease subunit alpha;Urease alpha subunit;WP_000065682.1;AIG67695.1
EDL933_RS07430;NA;NA;transposase;Transposase;WP_000088300.1;AIG67700.1
EDL933_RS07445;NA;NA;hok/gef family protein;hypothetical protein;WP_001135715.1;AIG67703.1
EDL933_RS07450;NA;NA;hypothetical protein;hypothetical protein;WP_000397129.1;AIG67706.1
EDL933_RS07460;NA;NA;transposase;Transposase;WP_000435663.1;AIG67710.1
EDL933_RS07465;NA;NA;transposase;Transposase;WP_000624701.1;AIG67711.1
EDL933_RS07470;NA;NA;transposase;Transposase;WP_000088522.1;AIG67712.1
EDL933_RS07475;NA;NA;transposase;Transposase;WP_000355322.1;AIG67713.1
EDL933_RS07480;NA;NA;transposase;Hypothetical protein;WP_000957248.1;AIG67714.1
EDL933_RS07485;NA;NA;hypothetical protein;hypothetical protein;WP_000042916.1;AIG67715.1
EDL933_RS07495;NA;NA;hypothetical protein;hypothetical protein;WP_000506898.1;AIG67717.1
EDL933_RS07500;NA;NA;citrate lyase subunit beta;Citrate lyase beta chain;WP_000797372.1;AIG67718.1
EDL933_RS07505;NA;NA;hypothetical protein;putative ATP/GTP-binding protein;WP_001182418.1;AIG67719.1
EDL933_RS07510;NA;NA;hypothetical protein;NA;WP_001040060.1;NA
EDL933_RS07515;NA;NA;hypothetical protein;Adenine/guanine phosphoribosyltransferase;WP_001280118.1;AIG67722.1
EDL933_RS07520;NA;NA;hypothetical protein;Carbamoylphosphate synthase large subunit;WP_001035166.1;AIG67723.1
EDL933_RS07560;NA;NA;ligand-gated channel;TonB-dependent receptor;WP_001223350.1;AIG67732.1
EDL933_RS07565;NA;NA;hypothetical protein;hypothetical protein;WP_000922604.1;AIG67733.1
EDL933_RS07570;NA;NA;hypothetical protein;hypothetical protein;WP_000477623.1;AIG67734.1
EDL933_RS07575;NA;NA;hypothetical protein;hypothetical protein;WP_001004881.1;AIG67738.1
EDL933_RS07580;NA;NA;hypothetical protein;hypothetical protein;WP_000233217.1;AIG67742.1
EDL933_RS07590;NA;NA;AlpA family phage regulatory protein;hypothetical protein;WP_000958487.1;AIG67745.1
EDL933_RS07600;NA;NA;transposase;NA;WP_000089821.1;NA
EDL933_RS07610;NA;NA;hypothetical protein;hypothetical protein;WP_001260384.1;AIG67754.1
EDL933_RS07615;NA;NA;hypothetical protein;hypothetical protein;WP_000124179.1;AIG67755.1
EDL933_RS07620;NA;NA;hypothetical protein;hypothetical protein;WP_001287881.1;AIG67756.1
EDL933_RS07625;NA;NA;transposase;Transposase;WP_001302783.1;AIG67758.1
EDL933_RS07630;NA;NA;transposase;Transposase;WP_000165196.1;AIG67759.1
EDL933_RS07635;NA;NA;hypothetical protein;putative hemolysin activator protein;WP_001345400.1;AIG67760.1
EDL933_RS07640;NA;NA;hypothetical protein;NA;WP_001304206.1;NA
EDL933_RS07645;NA;NA;helicase;DNA helicase;WP_001304205.1;AIG67762.1
EDL933_RS07660;NA;NA;PerC family transcriptional regulator;Putative transcriptional regulator;WP_000226520.1;AIG67766.1
EDL933_RS07665;NA;NA;hypothetical protein;hypothetical protein;WP_001333354.1;AIG67767.1
EDL933_RS07675;NA;NA;transposase;Transposase/Integrase;NA;AIG67769.1
EDL933_RS07680;NA;NA;transposase;Transposase;WP_000422760.1;AIG67770.1
EDL933_RS07685;NA;NA;hypothetical protein;hypothetical protein;WP_000282125.1;AIG67771.1
EDL933_RS07695;NA;NA;hypothetical protein;Antigen 43 precursor;NA;AIG67774.1
EDL933_RS07700;NA;NA;dGTPase;Putative vimentin;NA;AIG67776.1
EDL933_RS07705;Z1653;NA;chemotaxis protein;Ferredoxin reductase;WP_000203541.1;AIG67777.1
